frequency,darm
112.8,2.0699999999999998e-20
112.9,1.9799999999999998e-20
113.0,1.9e-20
113.1,1.83e-20
113.2,1.8000000000000002e-20
113.3,1.8000000000000002e-20
113.4,1.76e-20
113.5,1.7799999999999998e-20
113.6,1.8799999999999998e-20
113.7,1.96e-20
113.8,1.9699999999999998e-20
113.9,1.9799999999999998e-20
114.0,2.02e-20
114.1,2.0000000000000002e-20
114.2,1.94e-20
114.3,1.8799999999999998e-20
114.4,1.87e-20
114.5,1.93e-20
114.6,1.93e-20
114.7,1.92e-20
114.8,2.0000000000000002e-20
114.9,1.9799999999999998e-20
115.0,1.93e-20
