frequency,amb,flag,darm
26.27,1.22e-20,0,1.0766666666666665e-19
26.345,0.0,0,1.0699999999999999e-19
26.42,0.0,0,1.0766666666666666e-19
26.5,0.0,0,9.975000000000001e-20
26.58,0.0,0,1.18e-19
26.655,0.0,0,1.1549999999999998e-19
26.715,7.81e-21,0,1.0950000000000002e-19
26.790000000000003,0.0,0,1.1199999999999999e-19
26.865000000000002,0.0,0,1.16e-19
26.939999999999998,0.0,0,1.1733333333333332e-19
27.015,1.1e-20,0,1.26e-19
27.09,0.0,0,1.1e-19
27.165,0.0,0,8.025e-20
27.24,0.0,0,9.930000000000001e-20
27.314999999999998,1.56e-20,0,1.16e-19
27.39,0.0,0,1.3633333333333333e-19
27.465,0.0,0,1.2349999999999998e-19
27.55,0.0,0,9.606666666666666e-20
27.625,0.0,0,9.305000000000001e-20
27.685000000000002,1.0700000000000002e-20,0,8.015000000000001e-20
27.76,0.0,0,9.513333333333334e-20
27.835,0.0,0,1.0140000000000002e-19
27.91,0.0,0,1.0566666666666668e-19
28.0,1.06e-20,0,8.88e-20
28.075,0.0,0,9.29e-20
28.149999999999995,0.0,0,8.830000000000001e-20
28.225,0.0,0,7.53e-20
28.3,1.21e-20,0,9.700000000000001e-20
28.375,0.0,0,1.245e-19
28.450000000000003,0.0,0,1.0406666666666665e-19
28.535,0.0,0,8.115e-20
28.61,0.0,0,9e-20
28.685000000000002,1.11e-20,0,9.145e-20
28.76,0.0,0,9.619999999999998e-20
28.849999999999998,0.0,0,1.0046666666666666e-19
28.925,0.0,0,8.235e-20
29.0,1.91e-20,0,7.203333333333333e-20
29.075,0.0,0,9.160000000000001e-20
29.149999999999995,0.0,0,8.206666666666667e-20
29.225,0.0,0,7.004999999999999e-20
29.3,1.4899999999999998e-20,0,7.176666666666666e-20
29.39,0.0,0,7.870000000000001e-20
29.465,0.0,0,8.04e-20
29.55,0.0,0,8.823333333333333e-20
29.64,0.0,0,8.7e-20
29.715,1.08e-20,0,7.525000000000001e-20
29.790000000000003,0.0,0,6.483333333333334e-20
29.865000000000002,0.0,0,6.51e-20
29.939999999999998,0.0,0,7.629999999999999e-20
30.03,1.1599999999999997e-20,0,9.336666666666668e-20
30.105,0.0,0,8.935e-20
30.179999999999996,0.0,0,7.919999999999999e-20
30.27,1.1599999999999998e-20,0,7.503333333333334e-20
30.345,0.0,0,9.104999999999999e-20
30.42,0.0,0,7.923333333333333e-20
30.516666666666666,0.0,0,8.653333333333335e-20
30.595,0.0,0,7.47e-20
30.67,1.6299999999999993e-20,0,6.486666666666667e-20
30.76,0.0,0,6.14e-20
30.849999999999998,0.0,0,5.576666666666666e-20
30.925,0.0,0,6.515e-20
31.0,2.54e-20,0,6.396666666666667e-20
31.09,0.0,0,6.836666666666667e-20
31.165,0.0,0,7.12e-20
31.24,0.0,0,6.923333333333334e-20
31.33,1.29e-20,0,7.163333333333333e-20
31.42,0.0,0,6.766666666666667e-20
31.5,0.0,0,6.864999999999999e-20
31.58,0.0,0,5.35e-20
31.67,1.47e-20,0,5.530000000000001e-20
31.76,0.0,0,7.04e-20
31.835,0.0,0,6.07e-20
31.91,0.0,0,6.09e-20
32.0,1.47e-20,0,7.926666666666667e-20
32.09,0.0,0,7.423333333333332e-20
32.18,0.0,0,6.763333333333333e-20
32.255,0.0,0,5.9e-20
32.33,1.3700000000000003e-20,0,6.150000000000001e-20
32.42,0.0,0,6.013333333333332e-20
32.516666666666666,0.0,0,5.72e-20
32.61,0.0,0,6.476666666666667e-20
32.685,1.1599999999999997e-20,0,6.25e-20
32.76,0.0,0,6.483333333333334e-20
32.85,0.0,0,6.526666666666666e-20
32.94,0.0,0,5.456666666666667e-20
33.03,1.1799999999999999e-20,0,5.576666666666666e-20
33.120000000000005,0.0,0,6.263333333333332e-20
33.21,0.0,0,6.003333333333333e-20
