frequency,amb,flag,channel
31.1,4.0000000000000004e-20,Upper Limit,H1:PEM-CS_ACC_HAM3_PR2_Y
31.2,2.2900000000000002e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Y
31.3,2.19e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Y
31.4,3.1e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Y
31.5,3.6699999999999997e-20,Upper Limit,H1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
31.6,2.6499999999999998e-20,Upper Limit,H1:PEM-CS_ACC_HAM3_PR2_Y
31.7,2.5699999999999996e-20,Upper Limit,H1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
31.8,3.3300000000000004e-20,Upper Limit,H1:PEM-CS_ACC_BSC2_BS_X
31.9,4.4900000000000004e-20,Upper Limit,H1:PEM-EY_ACC_BSC10_ETMY_Y
32.0,4.71e-20,Upper Limit,H1:PEM-CS_ACC_PSL_TABLE1_Z
32.1,4.03e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Y
32.2,3.13e-20,Upper Limit,H1:PEM-CS_ACC_BEAMTUBE_MCTUBE_Y
32.3,3.23e-20,Upper Limit,H1:PEM-CS_ACC_BEAMTUBE_YMAN_X
32.4,3.4900000000000003e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Z
32.5,2.7999999999999997e-20,Upper Limit,H1:PEM-CS_ACC_BEAMTUBE_MCTUBE_Y
32.6,2.01e-20,Upper Limit,H1:PEM-CS_ACC_HAM2_PRM_Z
32.7,1.8000000000000002e-20,Upper Limit,H1:PEM-CS_ACC_HAM2_PRM_Y
32.8,2.46e-20,Upper Limit,H1:PEM-CS_ACC_HAM5_SRM_Y
32.9,2.11e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Z
33.0,1.9799999999999998e-20,Upper Limit,H1:PEM-CS_ACC_BSC2_BS_Y
33.1,2.11e-20,Upper Limit,H1:PEM-CS_ACC_HAM2_PRM_Z
33.2,1.84e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_X
33.3,1.82e-20,Upper Limit,H1:PEM-CS_ACC_BEAMTUBE_MCTUBE_Y
33.4,1.8799999999999998e-20,Upper Limit,H1:PEM-CS_ACC_HAM5_SRM_X
33.5,2.11e-20,Upper Limit,H1:PEM-CS_ACC_BEAMTUBE_MCTUBE_Y
33.6,2.08e-20,Upper Limit,H1:PEM-CS_ACC_BEAMTUBE_MCTUBE_Y
33.7,2.61e-20,Upper Limit,H1:PEM-CS_ACC_HAM2_PRM_X
33.8,1.89e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Z
33.9,1.82e-20,Upper Limit,H1:PEM-CS_ACC_BSC1_ITMY_X
34.0,1.79e-20,Upper Limit,H1:PEM-CS_ACC_BSC1_ITMY_Z
34.1,1.8799999999999998e-20,Upper Limit,H1:PEM-CS_ACC_BSC1_ITMY_X
34.2,1.3899999999999998e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Y
34.3,2.2599999999999998e-20,Upper Limit,H1:PEM-CS_ACC_HAM5_SRM_Y
34.4,1.95e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Y
34.5,2.23e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_X
34.6,2.25e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Z
34.7,2.1000000000000002e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Z
34.8,2.12e-20,Upper Limit,H1:PEM-CS_ACC_BEAMTUBE_SRTUBE_X
34.9,2.2900000000000002e-20,Upper Limit,H1:PEM-CS_ACC_HAM5_SRM_Y
35.0,1.83e-20,Upper Limit,H1:PEM-CS_ACC_HAM5_SRM_Y
35.1,2.1000000000000002e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_X
35.2,1.87e-20,Upper Limit,H1:PEM-CS_ACC_HAM5_SRM_Y
35.3,1.92e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_X
35.4,1.7e-20,Upper Limit,H1:PEM-CS_ACC_HAM2_PRM_Z
35.5,2.3199999999999997e-20,Upper Limit,H1:PEM-CS_ACC_BSC2_BS_X
37.5,1.46e-20,Upper Limit,H1:PEM-CS_ACC_BSC1_ITMY_Z
37.6,2.04e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_X
37.7,1.9699999999999998e-20,Upper Limit,H1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
37.8,2.46e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Z
37.9,1.92e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Z
38.0,2.16e-20,Upper Limit,H1:PEM-CS_ACC_BSC1_ITMY_Z
38.1,2.5e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_X
38.2,9.83e-21,Measured,H1:PEM-CS_ACC_HAM5_SRM_Y
38.3,1.1599999999999998e-20,Measured,H1:PEM-CS_ACC_BSC1_ITMY_Y
38.4,1.4799999999999998e-20,Measured,H1:PEM-CS_ACC_BSC1_ITMY_X
38.5,7.12e-21,Measured,H1:PEM-CS_ACC_HAM5_SRM_Y
38.6,1.3700000000000003e-20,Measured,H1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
